## Negocios ya prospectados (no repetir)
## Formato: Nombre | Zona
Mantillo del Bosque | Benavídez
Vivero Verdezza (Spinelli) | Rincón de Milberg
Vivero Reservarte | Tigre
Vivero Santa María | Rincón de Milberg
Chill Out Remeros | Tigre/Nordelta
Rancho Deco | Rincón de Milberg
Compañía Nativa | Puerto de Frutos
Cinderella Decoración | Puerto de Frutos
Lalita Growshop | Tigre
Planto Luego Existo Growshop | Tigre
NutriTigre | Tigre
Ferretería El Tigre | Tigre
Vivero Lunta | Tigre
Pindo Studio | Tigre
Rincón Tigre | Tigre
Alalma Jardín | Nordelta
FÊTE Flores Deco y Eventos | Nordelta
NEGRO House & Pleasures | Nordelta
SANTO Muebles y Decoración | Nordelta
Guazú-Nambí Muebles y Deco | Nordelta
Gloria Atelier Deco | Nordelta
Mike Outdoor Living | Nordelta
Merci Interiores | Nordelta
Loreto Muebles y Objetos Nordelta | Nordelta
New Garden Nordelta | Nordelta
Nordelta Natural | Nordelta
Ferretería Nordelta | Nordelta
Aires de Cultivo Grow Shop | Benavídez
Vivero Benavídez Espacio Verde | Benavídez
La Raíz Vivero | Tigre/Nordelta
del Bazar - Bazar Online & Deco | Nordelta
La Casa de las Flores | Nordelta
Jardín del Norte Paisajismo | Zona Norte
Lucia Holmberg Paisajismo | Zona Norte
+Mas Orgánicos | Tigre
Tigre Growshop | Benavídez
Sol Palou Deco | Tigre
Desire Home | Puerto de Frutos
Relax y Decoración | Puerto de Frutos
Florería Dylan | Rincón de Milberg
Corralón Casa Camilo | Rincón de Milberg
Tigremat SRL | Tigre
Ferretería Rober | Benavídez
Ferretería El Ombú | Benavídez
Ferretería San Nicolás | Benavídez
Ferretería y Corralón Andersen | Troncos del Talar
Vivero Sawatani | Escobar
Vivero Dalloro | Escobar
Greenhill Vivero | Escobar
Germinarong | Escobar
Naturalis SH | Escobar
Mercado de Plantas Loma Verde | Escobar
Jardinería y Paisajismo Tigre | Rincón de Milberg
Bulonera La.Ca | Benavídez
Corralón Ferreyra | Troncos del Talar
Vivero Hisaki | Escobar
Vivero Holandés | Escobar
Vivero Kogiso | Garín
Vivero Sileoni | Escobar
Vivero Cítrico San Felipe BA | Escobar
Vivero Rodriguez | Escobar
Escobar Growshop | Escobar
Maschwitz Grow | Maschwitz
Grow Shopping Pilar | Escobar/Pilar
Dietéticas Tomy Garín | Garín
Dietéticas Tomy Escobar | Escobar
Dietéticas Naturales Escobar | Escobar
Florería Interflor Escobar | Escobar
Florería Godoy | Escobar
Ferretería El Molino | Maschwitz
Bulonera Industrial Garín | Garín
Ferretería Corralón Garay | Escobar
Kazaru Deco | Escobar
Cultivo Urbano Maschwitz | Maschwitz
Distribuidora Escobar | Escobar
79 Vivero Green Project | Maschwitz/Escobar
80 Vivero Rauscher | Matheu/Escobar
81 El Almacén del Huillin | Maschwitz/Escobar
82 Área Verde Productos y Servicios | Maquinista Savio/Escobar
83 Espacios Verdes La Esperanza | Matheu/Escobar
84 Dietética Loma Verde | Escobar
85 New Garden Maschwitz | Maschwitz/Escobar
86 La Florería de Ruth | Maschwitz/Escobar
87 Todo Granel Maschwitz | Maschwitz/Escobar
88 Vivero San Fernando | San Fernando
89 Vivero Orquídea San Fernando | San Fernando
90 Floristería Edri | San Fernando
91 Mystical GrowShop San Fernando | San Fernando
92 Clon Factory San Fernando | San Fernando
93 Germinando Nativas | Zona Norte BA
94 Buenos Aires Grow Shop | Zona Norte BA
95 La Floresta Growshop | Zona Norte BA
96 SAJO Hogar San Fernando | San Fernando
97 Sabe la Tierra Feria | San Fernando
98 La Carmelita Deco | San Fernando
