N,Nombre del Negocio,Categoria,Direccion,Instagram,WhatsApp_Telefono,Link_contacto,Calificacion,Motivo_calificacion,Mensaje_Instagram,Mensaje_WhatsApp,Estado_lead,Fecha_contacto,Notas
1,Mantillo del Bosque,Vivero,"Av Benavidez 3345, Benavidez, Tigre",@mantillodelbosque,-,https://instagram.com/mantillodelbosque,Alta,"Vende sustratos, huertas y plantas. Perfil ideal para kits de huerta","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Mantillo del Bosque con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Mantillo del Bosque con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-13,
2,Vivero Verdezza (Spinelli),Vivero,"Av. Sta. Maria de las Conchas 6385, Rincon de Milberg, Tigre",@vivero.verdezza,-,https://instagram.com/vivero.verdezza,Alta,Vivero boutique con deco garden,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Verdezza (Spinelli) con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Verdezza (Spinelli) con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",No interesado,2026-04-13,"Dijo que por el momento no, trabajan solamente con plantas decorativas."
3,Vivero Reservarte,Vivero,"Av Benavidez 287, Tigre",@vivero.reservarte,-,https://instagram.com/vivero.reservarte,Alta,"Plantas, paisajismo y deco","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Reservarte con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Reservarte con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-13,
4,Vivero Santa Maria,Vivero,"Av. Sta Maria 2206, Rincon de Milberg, Tigre",@vivero_santamaria_tigre,-,https://instagram.com/vivero_santamaria_tigre,Alta,Vivero con buena ubicacion en zona residencial,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Santa Maria con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Vivero Santa Maria con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Reunión agendada,2026-04-13,Le interesó la propuesta. Mariano va a visitarlo el viernes 18/04.
5,Chill Out Remeros,Vivero,"Av. Sta. Maria de las Conchas 4711, Tigre",@chilloutremeros,+5491155257705,https://instagram.com/chilloutremeros,Alta,Vivero boutique en Nordelta con cafe. Publico ABC1,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Chill Out Remeros con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que vi lo que hacen en Chill Out Remeros con las plantas y la propuesta verde, y nos parece que encaja perfecto con la comunidad que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Interesado,2026-04-13,Pasó su número de teléfono. Interesado. Mariano va a visitarlo en un ratito.
6,Rancho Deco,Decoracion,"Av. Santa Maria de las conchas 3997, Rincon de Milberg, Tigre",@ranchodeco,+5491136434805,https://wa.me/5491136434805,Media,Muebles y deco hogar,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Rancho Deco y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Rancho Deco y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-13,
7,Compania Nativa,Decoracion,"Sarmiento 130, Puerto de Frutos, Tigre",@compania_nativa,+5491170257004,https://wa.me/5491170257004,Media,Muebles y deco con 25 anos. Alto trafico,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Compania Nativa y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Compania Nativa y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-13,
8,Cinderella Decoracion,Decoracion,"Sarmiento 289, Puerto de Frutos, Tigre",@cinderelladecoracion,+5491154616935,https://wa.me/5491154616935,Media,Deco hogar en Puerto de Frutos,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Cinderella Decoracion y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que me encantó la estética que manejan en Cinderella Decoracion y creo que nuestras huertas encajan perfecto con la propuesta de diseño que tienen, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-13,
9,Lalita Growshop,Growshop,"Espana 530, Tigre",@lalita.grow,+5491137914371,https://instagram.com/lalita.grow,Alta,Especializado en cultivo. Excelente atencion,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Lalita Growshop con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Lalita Growshop con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-13,
10,Planto Luego Existo Growshop,Growshop,"Av. Cazon 463, Tigre",@plantoluegoexisto,+5491136482923,https://wa.me/5491136482923,Alta,Growshop con 20+ anos de experiencia,"Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Planto Luego Existo Growshop con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!","Buenas, ¿cómo andan? Soy Mariano, de Acrule Hidroponía. Les escribo porque fabricamos huertas hidropónicas y estamos armando una comunidad enfocada en ayudar a que la gente cultive sus propios alimentos de manera saludable. Te cuento que creemos que el laburo que hacen en Planto Luego Existo Growshop con todo el tema cultivo tiene mucho valor y encaja perfecto con lo que estamos armando, y podrían ser un buen punto de comercialización. Si te copa la idea avisame y te paso más info!",Contactado,2026-04-13,
